iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30,omega_35
18250,1.0015456551247692,1.0058958693834736,1.0067247475849879,1.0171781774872617,1.0516734903381628,1.0051756333391981,1.000207670755973,1.000194839296213,1.0000249843427516,1.0000284682812095,1.0001570034499758,1.0003925507376772,1.0003044606247635,1.0003401962090661,1.0002705530988334
18500,1.0015524539607596,1.005681276562686,1.006469230816597,1.0162223830314558,1.0519060012992076,1.0050792414926406,1.0001997010609065,1.0001700581612776,1.000038569623178,1.000036517122763,1.0001652672435053,1.0003900793204379,1.000298564409063,1.000342489531844,1.0002641583754786
18750,1.0015195019917202,1.0055530717160226,1.0063707310974397,1.0154329943732128,1.0531026194188837,1.0052055227117562,1.0001840403160982,1.0001536224279304,1.000054486025211,1.000045545779093,1.0001617665458467,1.0003883076076001,1.000292680375251,1.0003278723165214,1.0002558797390702
19000,1.0015614069006682,1.005896708773534,1.0067697329355807,1.015795219646508,1.0536138851276142,1.004770828435622,1.0001749425283393,1.0001661905313053,1.0000512883999322,1.0000450084895258,1.0001732169171837,1.0004098067746792,1.0003158026695746,1.0003341104476107,1.0002693983501858
19250,1.0017134251706306,1.005866863980467,1.0066968328351957,1.015626010567938,1.0538068729574572,1.0046063934587184,1.0001740848475609,1.0001901801897164,1.0000504225267821,1.000042946905865,1.000202242147169,1.0004449347428106,1.0003310759381474,1.000362023766695,1.0002947017506054
19500,1.0015914054353308,1.0058108821055405,1.006650509493766,1.0154567452139873,1.0543403052575648,1.0045946579282472,1.0001560503788098,1.0001894401099363,1.0000554310294951,1.0000477236595098,1.0001954298067786,1.000431277116295,1.0003367859453975,1.0003604373097945,1.0003011377863567
19750,1.001555564589605,1.0056126057624302,1.0064487831224072,1.015861571326592,1.053306106035497,1.0046508270685979,1.0001427065719535,1.00018752548512,1.0000564138941475,1.0000432142332336,1.0001944443189488,1.0004065809790843,1.0003365189590891,1.0003527408349655,1.0002836125146477
20000,1.0015980853384716,1.0064609739983648,1.0073660222677912,1.0157920846356456,1.0518990128173846,1.004656859230551,1.0001407892169196,1.0001944937163219,1.0000614370291554,1.0000473392293106,1.0002028140131907,1.0004184738675899,1.0003518517606287,1.0003638758418956,1.0002898661561652
20250,1.0016924618757868,1.0070006714180288,1.0079354397154014,1.0147194601110592,1.0514306584756152,1.004189006246914,1.0001509112996239,1.0002141505104765,1.0000579936638185,1.0000438300918635,1.0002087658720529,1.00042524130519,1.0003542326890578,1.0003825233999337,1.0002847816487628
20500,1.001645834971207,1.0066953085891275,1.0075508585042796,1.0143951785728884,1.0498546387192003,1.003779270038495,1.0001214461935735,1.0002175723410311,1.0000543050461226,1.0000407266684845,1.0002137830584799,1.0004210799287263,1.0003468669370825,1.0003708706950114,1.0002898130422049
20750,1.0016119473068863,1.0065446761791608,1.0073770743092032,1.0138689439791762,1.0481034935897127,1.0035809361277241,1.0001317699298407,1.0002112877321765,1.0000541390709603,1.0000375080385704,1.0001982599739905,1.0004148002579838,1.000337397391973,1.0003715395917483,1.0002879933711832
21000,1.001546843793969,1.0061336716613936,1.0069524534863914,1.01307763156127,1.0454345266653113,1.0035295595241975,1.000133778296534,1.0002037003790656,1.000052840799082,1.0000366704609427,1.0002009681024167,1.0004026312332925,1.000327252915977,1.0003714621610693,1.000293338784406
21250,1.001435948320088,1.006344468966669,1.0072227271572443,1.0119495000553387,1.0424181838304862,1.0033438712330305,1.0001415973146173,1.0002038723781994,1.0000551707560605,1.0000380217357605,1.0001902604476378,1.000374545032696,1.0003172267833658,1.0003601665796793,1.0002669499124779
21500,1.0013669921962112,1.005956203068941,1.006869089044881,1.0103229645284584,1.04028540731338,1.0033055296395164,1.0001414200245502,1.0001994040705238,1.0000621781899472,1.0000360247971523,1.0001828419901795,1.0003625366361124,1.0003011023167105,1.0003355145732427,1.0002507847124842
21750,1.0012800990978477,1.0060819516015993,1.0070669513934234,1.009126347356163,1.0392773556995283,1.0032403883541763,1.000141922979995,1.0001865747957823,1.000063862705509,1.000033594478263,1.000177556481717,1.0003545070436317,1.0002942579131662,1.000341041527033,1.0002420803812855
22000,1.0012937883690896,1.0059489180205556,1.0069236254010423,1.0085903202999726,1.039110359625473,1.002764431043044,1.0001399424647996,1.0001951168405325,1.0000664562892088,1.0000354971215077,1.0001948085592054,1.0003647657893557,1.0003067282673852,1.0003732359963773,1.00025309681548
22250,1.0014020279012001,1.0060038145017822,1.006980870817588,1.008207036455755,1.0392617671319795,1.0029325493955015,1.0001403793215125,1.000217455125397,1.0000707710378565,1.0000337136998108,1.0002050022741256,1.0003770497259508,1.0003274482424513,1.000381665280877,1.0002658846569505
22500,1.001354546596438,1.0057920122083759,1.0067535852277787,1.0082617267626086,1.0396508990075763,1.0029103063470464,1.0001290439260884,1.0002074391440716,1.0000662115049697,1.0000308829819173,1.0001956634748168,1.0003772661525239,1.000323105751564,1.0003773935150428,1.000264434895671
22750,1.0013699119176884,1.005935953068141,1.0068899002182798,1.0086051769618347,1.0389109792629598,1.0029558016024678,1.0001182761845928,1.0002106679269112,1.0000668229496323,1.0000298938647343,1.0001974770732731,1.0003949931281368,1.0003263319899969,1.0003807020671243,1.0002683051466756
23000,1.0013269830913165,1.0053212911594547,1.0063482819529885,1.0083366746467852,1.0387580839011383,1.00281112379959,1.0000949635933052,1.0001964792253348,1.000072219838656,1.0000303729529743,1.000196159520286,1.0003882519383938,1.0003160203278039,1.0003761056660434,1.0002668059534743
23250,1.001376910921151,1.0054440211959896,1.0064618381745085,1.0080699499675647,1.0385674881563622,1.0031534641429272,1.0000944553643782,1.000209520635591,1.0000689841613042,1.0000287460030093,1.0001964119890911,1.0003945218252541,1.0003207187816232,1.000389543886696,1.0002697427076932
23500,1.0013853685170475,1.005348885679943,1.0063409491180484,1.0080338195539738,1.0379488751553403,1.0029232964124803,1.000106033241181,1.0002141912396432,1.0000690745042091,1.0000273032209177,1.0001902973803574,1.000399194355266,1.0003192704663522,1.0003799296329918,1.0002734711686398
23750,1.0013808228593715,1.005598382838322,1.0065702154757061,1.0084515266112384,1.036928155371212,1.0028758954799348,1.0001237696560592,1.0002031982299597,1.0000652489196382,1.000025961270119,1.000189946091577,1.000398453344992,1.000313459997843,1.0003812819856,1.0002739856651381
24000,1.0014169750474755,1.0058332728368662,1.0068240658736343,1.009069846760501,1.0361288968381384,1.0030031172154914,1.0001043423287315,1.0002107954962296,1.0000635740803876,1.0000278354567114,1.000195887807623,1.0004172334260326,1.00032515793038,1.0003740701544794,1.0002779675562867
24250,1.0012721309719144,1.005331181897769,1.006250627757122,1.0090684368640892,1.0343489256702043,1.0031643665217438,1.0001093485597294,1.0001875174945938,1.000070109240441,1.000032940047234,1.0001798274430869,1.000382851874044,1.0002929774770941,1.0003476153331348,1.0002470947245483
24500,1.0012394736062529,1.0052942224895938,1.0062439706838804,1.0094333002509006,1.033403956857261,1.003194874860527,1.0001203944289154,1.0001871565953637,1.000066524885578,1.0000302883521874,1.0001803104268612,1.0003790650355107,1.0002954760464033,1.0003475718436288,1.0002553962419884
24750,1.001213928897799,1.0053180280458098,1.006251873794163,1.0096210480537353,1.0334597042882494,1.0032301811545652,1.0001192433298893,1.000180308525886,1.0000676052639226,1.0000291790768876,1.0001709250260653,1.0003655585692544,1.0002854345116174,1.0003401021422602,1.0002503602377086
