iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
24250,1.0004700800611477,1.0011663523032002,1.0011700158649854,1.0089723326472804,1.0178311645025582,1.0075083053380705,1.000332328839397,1.0000426482694977,1.000038763235164,1.0000379346012924,1.0000138106546883
24500,1.0004561120996045,1.0012162015330754,1.0012667705241027,1.008919609866631,1.0176253680412,1.0075622586683357,1.0003846653707213,1.0000420587101793,1.0000361768786181,1.0000372640697537,1.0000137454350386
24750,1.0004231727538695,1.0012280199589823,1.0012795085112816,1.0086060122502265,1.01713772886584,1.0072015805949694,1.0003766139277117,1.000038912084831,1.000032800630561,1.0000369152478457,1.0000119156105265
25000,1.0004232459424314,1.0012392962660166,1.001285773687519,1.0081859814785625,1.0167787677637647,1.0068556303111815,1.0003317791457385,1.0000396160966785,1.000029545279261,1.0000381034150951,1.000014975826134
25250,1.000433945485201,1.0010275038830825,1.0010691655406299,1.0080392501822057,1.0161608874879908,1.0067213797797732,1.0003421817650542,1.0000418327279488,1.0000296167601441,1.0000398906222776,1.0000170798027577
25500,1.000437654325406,1.0008780755494362,1.0009293034953068,1.0079754622603703,1.0157233358337692,1.0065159789502813,1.000362503016155,1.0000394501444108,1.0000291877794982,1.000045809259955,1.0000174774099377
25750,1.000433990413026,1.00092206649021,1.0009653957443057,1.0080389849383133,1.0164185956008382,1.0070975411950625,1.0003575651113688,1.0000407865200727,1.0000260360318247,1.0000422073824544,1.0000159572559464
26000,1.0004350236307284,1.0009378501340178,1.0009686727048832,1.0081094519414189,1.016802828636804,1.0080319098496362,1.0003597380362963,1.0000436073550127,1.000026349633603,1.000043195359078,1.0000177806316577
26250,1.0004319062157465,1.0009414330275728,1.000946590188435,1.007719336686159,1.0167463947436086,1.008850596454019,1.0003548133366693,1.0000449565441507,1.0000252376383134,1.0000403736520695,1.0000184347491254
26500,1.0004291910164416,1.0010301803448383,1.0010257258271147,1.0074448189928153,1.016832145281316,1.0093561415822339,1.0003171765294387,1.0000416537681038,1.0000228241495621,1.000040195905066,1.0000227747857124
26750,1.0004083871070064,1.0010075154244018,1.0010033227062651,1.0073870169790036,1.0169458744252144,1.0089268625743162,1.0002825258404495,1.0000420180087157,1.000021309558501,1.0000373736005532,1.0000241903022884
27000,1.0004081317768958,1.0009414081402324,1.0009126334938225,1.0070047925348167,1.0169542062343646,1.0086010417780407,1.0002707848215522,1.000037881790362,1.0000221483994294,1.0000356902168204,1.0000227361693326
27250,1.000400889773419,1.0009151753846983,1.000902564311748,1.006472940520356,1.017276105029582,1.0081703852176764,1.0002710868917781,1.000038409587029,1.0000192766164588,1.0000326636340744,1.0000219853216068
27500,1.0004012142121061,1.0009800364217394,1.000978192254053,1.0056949765985839,1.0178584828432367,1.0080014048181816,1.0002829368347124,1.000035157069694,1.000015754478905,1.0000297588128753,1.0000171924181829
27750,1.000382336005904,1.001039757270703,1.0010391715657956,1.0051587296608184,1.0181673442611432,1.0078162964114594,1.0002526054111132,1.0000366651315111,1.000015443800511,1.0000300974878367,1.0000174800401955
28000,1.0003746919455734,1.0013380140545416,1.0013707300797223,1.004611882456972,1.017686199194817,1.007410309628342,1.0002390231977203,1.0000346719690343,1.000014061809726,1.0000264969710346,1.0000136000620898
28250,1.0003794000325716,1.001338911463889,1.001373766455734,1.0043007411239815,1.0166371636754543,1.0071009704362626,1.0002295904058507,1.000034994479997,1.000015631473107,1.000027326079182,1.000015178687757
28500,1.0004045271835809,1.0011342377116912,1.0011488793649028,1.004587126049496,1.0157692911393668,1.0070068249198036,1.0002279025299265,1.0000385317235099,1.0000172538653949,1.0000319939143927,1.000017209687895
28750,1.000403914539541,1.0011449759658018,1.0011508300740728,1.0053425053697107,1.0159022582700499,1.00693418196252,1.000208860479888,1.0000417818203768,1.0000188864056283,1.0000305288435187,1.000018063327113
29000,1.0004111311838044,1.001130434496204,1.0011267841491271,1.0056521352242636,1.0161043852439873,1.007145826652234,1.0002401704927788,1.0000430722512985,1.000020498377749,1.0000347652731074,1.0000181506313168
29250,1.0003976731105075,1.001137799540279,1.0011235450618496,1.0056731585311607,1.0158881919143523,1.0066644082832503,1.0002179932122934,1.0000436929009417,1.000020368562636,1.0000347952279693,1.0000206215363123
29500,1.0003899515367196,1.001163927858789,1.0011515633956807,1.0059638071170942,1.0158548927935644,1.0064408355409582,1.0001916811097893,1.0000388756352692,1.0000174346087753,1.0000346580914032,1.0000208927568996
29750,1.000467029333637,1.0011220224619541,1.0011018012483868,1.0061874031483786,1.0159700139372942,1.0065460501159758,1.0001957530869887,1.000045424084012,1.0000262306837018,1.000038198335423,1.0000223722558244
30000,1.0004655000246758,1.001168107654056,1.0011531678255892,1.0062089570655186,1.0162983168170894,1.0066814106864042,1.0001818402007028,1.0000466042875031,1.0000251921505632,1.0000376462094582,1.0000253703900734
30250,1.0004658011524346,1.0012041338463313,1.0012054455323773,1.006068662703927,1.0163902186537765,1.0064599010622477,1.0001965953592995,1.0000446430668948,1.000025000912225,1.000036232560738,1.0000258438948906
30500,1.0004872524395567,1.0011857860357989,1.0011771288706464,1.0060192447315928,1.0161913042039743,1.0064607250776605,1.0001853357613983,1.0000446114576524,1.00002687858742,1.0000369383151233,1.0000260241288008
30750,1.0004899132338336,1.0012665836722079,1.0012425633719293,1.0063069703220295,1.0156602141611293,1.0066423629127037,1.0001703743114798,1.0000479986944326,1.000030570302204,1.0000395947670677,1.0000314915258135
31000,1.0004899936441654,1.001331952692377,1.0012986624298525,1.0065457162116385,1.0146169700246421,1.0064757589870108,1.0001696306325967,1.0000475924507573,1.0000273914852578,1.0000377392355824,1.0000297835650713
